name;aktiva.passiva;untergruppe;anlageart;jahr;betrag
Bauten auf eigenen Grundstücken und grundstücksgleichen Rechten;aktiva;Anlagevermögen;Sachanlagen;2020;399,068.33
Grundstückswerte eigener bebauter Grundstücke;aktiva;Anlagevermögen;Sachanlagen;2020;383,156.00
Forderungen Miete und Nebenkosten;aktiva;Umlaufvermögen;Forderungen und sonstige Vermögensgegenstände;2020;466.97
Guthaben bei Kreditinstituten (Volksbank);aktiva;Umlaufvermögen;Guthaben bei Kreditinstituten (Volksbank);2020;49,245.79
Gesamtsumme AKTIVA;aktiva;Gesamtsumme AKTIVA;Gesamtsumme AKTIVA;2020;831,937.09
Gezeichnetes Kapital;passiva;Eigenkapital;Gezeichnetes Kapital;2020;25,000.00
 Gewinn- / Verlustvortrag;passiva;Eigenkapital; Gewinn- / Verlustvortrag;2020;0.00
Jahresüberschuss/Jahresfehlbetrag;passiva;Eigenkapital;Jahresüberschuss/Jahresfehlbetrag;2020;129.90
Verbindlichkeiten gegenüber Kreditinstituten (Volksbank);passiva;Verbindlichkeiten;Verbindlichkeiten gegenüber Kreditinstituten (Volksbank);2020;478,811.26
Verbindlichkeiten aus Lieferungen und Leistungen;passiva;Verbindlichkeiten;Verbindlichkeiten aus Lieferungen und Leistungen;2020;145.45
Erhaltene Kautionen;passiva;Verbindlichkeiten;Erhaltene Kautionen;2020;990.00
Direktkredite;passiva;Verbindlichkeiten;Direktkredite;2020;326,860.48
Gesamtsumme PASSIVA;passiva;Gesamtsumme PASSIVA;Gesamtsumme PASSIVA;2020;831,937.09
Bauten auf eigenen Grundstücken und grundstücksgleichen Rechten;aktiva;Anlagevermögen;Sachanlagen;2021;388,900.98
Grundstückswerte eigener bebauter Grundstücke;aktiva;Anlagevermögen;Sachanlagen;2021;383,156.00
Geringwertige Wirtschaftsgüter Sammelposten;aktiva;Anlagevermögen;Sachanlagen;2021;375.20
Typische Stille Beteiligungen;aktiva;Anlagevermögen;Finanzanlagen;2021;71.57
Forderungen Miete und Nebenkosten;aktiva;Umlaufvermögen;Forderungen und sonstige Vermögensgegenstände;2021;41.59
Sonstige Forderungen;aktiva;Umlaufvermögen;Forderungen und sonstige Vermögensgegenstände;2021;320.00
Guthaben bei Kreditinstituten (Volksbank);aktiva;Umlaufvermögen;Guthaben bei Kreditinstituten (Volksbank);2021;49,558.53
Gesamtsumme AKTIVA;aktiva;Gesamtsumme AKTIVA;Gesamtsumme AKTIVA;2021;822,423.87
Gezeichnetes Kapital;passiva;Eigenkapital;Gezeichnetes Kapital;2021;25,000.00
 Gewinn- / Verlustvortrag;passiva;Eigenkapital; Gewinn- / Verlustvortrag;2021;129.90
Jahresüberschuss/Jahresfehlbetrag;passiva;Eigenkapital;Jahresüberschuss/Jahresfehlbetrag;2021;4,580.81
Verbindlichkeiten gegenüber Kreditinstituten (Volksbank);passiva;Verbindlichkeiten;Verbindlichkeiten gegenüber Kreditinstituten (Volksbank);2021;467,479.26
Verbindlichkeiten aus Lieferungen und Leistungen;passiva;Verbindlichkeiten;Verbindlichkeiten aus Lieferungen und Leistungen;2021;149.98
Erhaltene Kautionen;passiva;Verbindlichkeiten;Erhaltene Kautionen;2021;990.00
Direktkredite;passiva;Verbindlichkeiten;Direktkredite;2021;323,453.79
Passive Rechnungsabgrenzung;passiva;Passive Rechnungsabgrenzung;Passive Rechnungsabgrenzung;2021;640.13
